選択した画像ファイル,コメント,職業,年齢,性別,子供の有無,結婚状態,女性像
hair_design_001.jpg,ツヤ感のある髪質表現が美しいと感じました,パート,31,女性,いる,既婚,フェミニン
hair_design_001.jpg,顔周りのレイヤーが小顔効果がありそうで良いと思いました,パート,41,女性,いる,既婚,カジュアル
hair_design_001.jpg,ボブスタイルの中でも特に洗練された雰囲気,主婦,23,女性,いない,既婚,エレガント
hair_design_002.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,パート,41,女性,いる,既婚,スタイリッシュ
hair_design_002.jpg,自然な動きのあるスタイルが素敵だと思います,主婦,34,女性,いる,既婚,カジュアル
hair_design_002.jpg,前髪ありのスタイルが若々しくて可愛い,パート,22,女性,いない,未婚,フェミニン
hair_design_002.jpg,艶やかで健康的な髪質に見えるのが魅力的,自営業,33,女性,いる,既婚,エレガント
hair_design_002.jpg,ふんわりとしたカールが女性らしくて好きです,会社員,32,女性,いない,既婚,フェミニン
hair_design_003.jpg,前髪のデザインが個性的で可愛いと思いました,学生,25,女性,いない,未婚,カジュアル
hair_design_003.jpg,短めのボブスタイルで活動的な印象を受けました,主婦,42,女性,いる,既婚,カジュアル
hair_design_003.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,パート,22,女性,いない,未婚,フェミニン
hair_design_003.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,学生,38,女性,いる,既婚,スタイリッシュ
hair_design_003.jpg,前髪のデザインが個性的で可愛いと思いました,パート,30,女性,いる,既婚,カジュアル
hair_design_004.jpg,前髪が長めで顔周りがすっきりして見える,アルバイト,21,女性,いない,未婚,カジュアル
hair_design_004.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,学生,21,女性,いない,未婚,フェミニン
hair_design_004.jpg,前髪ありのスタイルが若々しくて可愛い,主婦,44,女性,いる,既婚,フェミニン
hair_design_004.jpg,直毛で清潔感のあるスタイルが好印象,学生,31,女性,いない,未婚,エレガント
hair_design_005.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,アルバイト,43,女性,いる,既婚,カジュアル
hair_design_005.jpg,ストレートでシンプルだけど洗練された印象,アルバイト,41,女性,いる,既婚,エレガント
hair_design_005.jpg,シンプルながらも上品さを感じるデザイン,パート,43,女性,いる,既婚,エレガント
hair_design_005.jpg,明るい髪色が顔色を明るく見せてくれそう,自営業,42,女性,いる,既婚,カジュアル
hair_design_005.jpg,ふんわりとしたカールが女性らしくて好きです,自営業,38,女性,いる,既婚,フェミニン
hair_design_005.jpg,明るいカラーと軽やかなスタイルが春夏にぴったり,パート,33,女性,いる,既婚,カジュアル
hair_design_006.jpg,短めのボブスタイルで活動的な印象を受けました,パート,40,女性,いる,既婚,カジュアル
hair_design_006.jpg,前髪のデザインが個性的で可愛いと思いました,主婦,40,女性,いる,既婚,フェミニン
hair_design_006.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,学生,42,女性,いない,未婚,スタイリッシュ
hair_design_006.jpg,シンプルながらも上品さを感じるデザイン,会社員,26,女性,いない,未婚,エレガント
hair_design_006.jpg,ボブでもロングでも短すぎず長すぎず巻いてあるのが好み,自営業,43,女性,いる,既婚,カジュアル
hair_design_006.jpg,エレガントで上品な雰囲気が魅力的です,主婦,38,女性,いる,既婚,エレガント
hair_design_007.jpg,自然な動きのあるスタイルが素敵だと思います,会社員,31,女性,いない,未婚,カジュアル
